id_del_producto,fecha_del_pedido,cantidad
TEC-TE-10001721,2014-12-29,4
MAT-SO-10002386,2014-12-29,6
MAT-SU-10003372,2014-12-29,8
MAT-SO-10001461,2014-12-29,6
MAT-EL-10002387,2014-12-29,8
TEC-AC-10000079,2014-12-29,2
TEC-AC-10001642,2014-12-29,4
TEC-CO-10000763,2014-12-29,2
MOB-LI-10001117,2014-12-29,6
MAT-SO-10000441,2014-12-29,3
MOB-SI-10000881,2014-12-29,1
MAT-CA-10003878,2015-01-05,7
MAT-AL-10003773,2015-01-05,3
MAT-AL-10003714,2015-01-05,3
MOB-LI-10002222,2015-01-05,5
MAT-EL-10000663,2015-01-05,3
TEC-AC-10002474,2015-01-05,3
TEC-TE-10001761,2015-01-05,5
MAT-AL-10001823,2015-01-05,10
TEC-CO-10003293,2015-01-05,3
MAT-CA-10001265,2015-01-05,3
TEC-CO-10003675,2015-01-05,3
MAT-GR-10002607,2015-01-05,4
MAT-SU-10001165,2015-01-05,1
MAT-SO-10004670,2015-01-12,4
TEC-AC-10001202,2015-01-12,2
MAT-AL-10003920,2015-01-12,3
TEC-MÁ-10000007,2015-01-12,1
MAT-GR-10003868,2015-01-12,3
TEC-CO-10003293,2015-01-12,11
TEC-MÁ-10002782,2015-01-12,4
MAT-CA-10000688,2015-01-12,8
MAT-PA-10004903,2015-01-12,12
MOB-LI-10002964,2015-01-12,3
MAT-SU-10003413,2015-01-12,5
MOB-SI-10000138,2015-01-12,3
MOB-LI-10003753,2015-01-12,2
MOB-LI-10004117,2015-01-19,2
MAT-ET-10004480,2015-01-19,3
MAT-CA-10004902,2015-01-19,8
TEC-AC-10001341,2015-01-19,2
MOB-LI-10003104,2015-01-19,1
MOB-LI-10000384,2015-01-19,4
MOB-SI-10000486,2015-01-19,4
MAT-SO-10000937,2015-01-19,2
TEC-TE-10000034,2015-01-19,2
MAT-SU-10002838,2015-01-19,5
MAT-EL-10003301,2015-01-19,2
TEC-TE-10004681,2015-01-19,4
MAT-CA-10003631,2015-01-19,2
MAT-PA-10004796,2015-01-19,1
MAT-PA-10001802,2015-01-19,2
MAT-SU-10003481,2015-01-19,2
MOB-SI-10002001,2015-01-19,3
MOB-ME-10003682,2015-01-19,6
MAT-PA-10000633,2015-01-26,3
MAT-SU-10001711,2015-01-26,2
TEC-AC-10001711,2015-01-26,2
MAT-CA-10001011,2015-01-26,6
MAT-CA-10003631,2015-01-26,13
MAT-EL-10000632,2015-01-26,2
MOB-ME-10003424,2015-01-26,2
MAT-AR-10003269,2015-01-26,4
MAT-CA-10003500,2015-01-26,3
MAT-GR-10002741,2015-01-26,5
MOB-ME-10003379,2015-01-26,2
MAT-AL-10001856,2015-02-02,7
MOB-ME-10001058,2015-02-02,3
MAT-EL-10002493,2015-02-02,9
TEC-CO-10003293,2015-02-02,4
TEC-TE-10001443,2015-02-02,4
MOB-SI-10004718,2015-02-02,2
MAT-CA-10001185,2015-02-09,2
MAT-SO-10003038,2015-02-09,4
TEC-CO-10003416,2015-02-09,3
TEC-AC-10000461,2015-02-09,3
MOB-MO-10001574,2015-02-09,5
MAT-SU-10003322,2015-02-09,6
MAT-EL-10003854,2015-02-09,2
TEC-AC-10001690,2015-02-09,2
MAT-EL-10004163,2015-02-09,5
MAT-SO-10000258,2015-02-09,7
TEC-TE-10001980,2015-02-09,4
TEC-CO-10002635,2015-02-09,2
MAT-AR-10000923,2015-02-09,2
MAT-SU-10001845,2015-02-09,4
MAT-AL-10004490,2015-02-09,2
TEC-TE-10000443,2015-02-16,3
MAT-SO-10002231,2015-02-16,2
MOB-MO-10004427,2015-02-16,5
MOB-SI-10001833,2015-02-16,5
MAT-AL-10002814,2015-02-23,3
TEC-AC-10003682,2015-02-23,3
MOB-LI-10004184,2015-02-23,6
MOB-MO-10003614,2015-02-23,2
TEC-TE-10001916,2015-02-23,4
MAT-PA-10002410,2015-02-23,1
MAT-PA-10001744,2015-02-23,3
TEC-CO-10001006,2015-02-23,5
TEC-TE-10004109,2015-02-23,4
TEC-TE-10000151,2015-02-23,6
MAT-SU-10004633,2015-02-23,2
TEC-MÁ-10001594,2015-02-23,2
MAT-SU-10004950,2015-02-23,2
MOB-SI-10004340,2015-02-23,3
TEC-MÁ-10000097,2015-02-23,2
TEC-AC-10000557,2015-02-23,3
MAT-SU-10000594,2015-02-23,2
MOB-SI-10000410,2015-02-23,3
TEC-CO-10003925,2015-02-23,2
TEC-CO-10003619,2015-02-23,2
TEC-MÁ-10002782,2015-02-23,2
MOB-MO-10004728,2015-02-23,3
MAT-AR-10003292,2015-02-23,3
MOB-SI-10002690,2015-03-02,3
TEC-TE-10002150,2015-03-02,5
MAT-SU-10001448,2015-03-02,3
MAT-SO-10004226,2015-03-02,5
MAT-SO-10000835,2015-03-02,1
